norm_num [h₀]
  <;> rw [← Real.rpow_nat_cast]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
  <;> rw [← Real.rpow_mul]
  <;> norm_num
